#Measurement data
#24.07.2016 08:31:49

#Time (days)	Power (W)
0.003037	1095.620000
0.003049	1095.620000
0.003060	1095.620000
0.003072	1097.840000
0.003084	1097.840000
0.003095	1097.840000
0.003107	1098.560000
0.003119	1098.560000
0.003130	1098.560000
0.003142	1101.990000
0.003154	1101.990000
0.003165	1102.490000
0.003176	1102.490000
0.003188	1102.490000
0.003200	1102.850000
0.003211	1102.850000
0.003223	1102.850000
0.003234	1102.850000
0.003246	1107.070000
0.003258	1107.070000
0.003269	1107.070000
0.003280	1107.640000
0.003292	1107.640000
0.003304	1107.710000
0.003315	1107.710000
0.003327	1107.710000
0.003338	1108.140000
0.003350	1108.140000
0.003362	1108.140000
0.003373	1107.640000
0.003385	1107.640000
0.003396	1107.640000
0.003408	1107.640000
0.003420	1107.640000
0.003431	1107.640000
0.003442	1107.640000
0.003454	1107.780000
0.003466	1107.780000
0.003477	1107.930000
0.003489	1107.930000
0.003500	1107.930000
0.003512	1107.570000
0.003523	1107.570000
0.003535	1107.570000
0.003547	1107.570000
0.003558	1107.210000
0.003570	1107.210000
0.003581	1107.210000
0.003593	1107.780000
0.003604	1107.780000
0.003616	1107.780000
0.003628	1108.280000
0.003639	1108.280000
0.003651	1108.140000
0.003662	1108.140000
0.003674	1108.140000
0.003685	1108.140000
0.003697	1108.140000
0.003709	1108.140000
0.003720	1108.140000
0.003732	1108.140000
0.003744	1108.140000
0.003755	1108.140000
0.003766	1106.710000
0.003778	1106.710000
0.003790	1107.070000
0.003801	1107.070000
0.003813	1107.070000
0.003824	1106.920000
0.003836	1106.920000
0.003848	1106.920000
0.003860	1106.420000
0.003871	1106.420000
0.003882	1106.420000
0.003894	1106.420000
0.003905	1105.280000
0.003917	1105.280000
0.003929	1105.280000
0.003940	1105.210000
0.003952	1105.210000
0.003963	1103.780000
0.003975	1103.780000
0.003987	1103.780000
0.003998	1101.560000
0.004010	1101.560000
0.004021	1101.560000
0.004033	1100.700000
0.004044	1100.700000
0.004056	1100.700000
0.004067	1100.700000
0.004079	1098.630000
0.004091	1098.630000
0.004102	1098.630000
0.004114	1099.920000
0.004125	1099.920000
0.004137	1102.490000
0.004148	1102.490000
0.004160	1102.490000
0.004172	1101.270000
0.004184	1101.270000
0.004195	1101.270000
0.004207	1101.270000
0.004220	27.750000
0.004231	27.750000
0.004242	27.750000
0.004254	3.500000
0.004265	3.500000
0.004277	3.430000
0.004289	3.430000
0.004300	3.430000
0.004312	3.500000
0.004324	3.500000
0.004335	3.500000
0.004346	3.500000
0.004358	3.500000
0.004370	3.500000
0.004381	3.500000
0.004393	3.500000
0.004405	3.500000
0.004416	3.500000
0.004428	3.500000
0.004439	3.500000
0.004451	3.500000
0.004463	3.500000
0.004474	3.500000
0.004485	3.500000
0.004497	3.500000
0.004509	3.500000
0.004520	3.500000
0.004532	3.500000
0.004543	3.500000
0.004555	3.500000
0.004567	3.500000
0.004578	3.500000
0.004590	3.500000
0.004601	3.500000
0.004613	3.500000
0.004624	3.500000
0.004636	3.500000
0.004648	3.500000
0.004659	3.500000
0.004670	3.500000
0.004682	3.500000
0.004694	3.500000
0.004705	3.500000
0.004717	3.500000
0.004728	3.500000
0.004740	3.500000
0.004752	3.500000
0.004763	3.500000
0.004775	3.500000
0.004787	3.500000
0.004798	3.500000
0.004845	3.500000
0.004847	3.430000
0.004856	3.430000
0.004868	3.500000
0.004879	3.500000
0.004890	3.500000
0.004902	3.500000
0.004914	3.430000
0.004925	3.430000
0.004937	3.500000
0.004948	3.500000
0.004960	3.500000
0.004976	3.430000
0.004983	3.430000
0.004995	3.430000
0.005006	3.500000
0.005018	3.500000
0.005030	3.500000
0.005041	3.500000
0.005053	3.500000
0.005064	3.500000
0.005076	3.500000
0.005087	3.430000
0.005099	3.430000
0.005111	3.500000
0.005122	3.500000
0.005134	3.500000
0.005145	3.430000
0.005157	3.430000
0.005169	3.430000
0.005180	3.430000
0.005191	3.430000
0.005203	3.430000
0.005215	3.430000
0.005226	3.500000
0.005238	3.500000
0.005249	3.500000
0.005261	3.500000
0.005272	3.500000
0.005284	3.500000
0.005296	3.500000
0.005307	3.500000
0.005319	3.430000
0.005330	3.430000
0.005342	3.430000
0.005353	3.500000
0.005365	3.500000
0.005377	3.500000
0.005388	3.500000
0.005400	3.430000
0.005411	3.430000
0.005423	3.430000
0.005435	3.500000
0.005446	3.500000
0.005458	3.430000
0.005469	3.430000
0.005481	3.430000
0.005493	3.430000
0.005504	3.430000
0.005516	3.430000
0.005527	3.430000
0.005539	3.430000
0.005550	3.430000
0.005562	3.430000
0.005573	3.430000
0.005585	3.430000
0.005597	3.430000
0.005608	3.430000
0.005620	3.430000
0.005631	3.430000
0.005643	3.430000
0.005654	3.430000
0.005666	3.500000
0.005678	3.500000
0.005689	3.500000
0.005701	3.500000
0.005712	3.430000
0.005724	3.430000
0.005736	3.430000
0.005747	3.430000
0.005760	3.430000
0.005770	3.430000
0.005782	3.430000
0.005793	3.430000
0.005805	3.430000
0.005816	3.430000
0.005828	3.430000
0.005840	3.430000
0.005851	3.430000
0.005863	3.430000
0.005875	3.430000
0.005886	3.430000
0.005897	3.430000
0.005909	3.430000
0.005921	3.430000
0.005932	3.430000
0.005944	3.500000
0.005955	3.500000
0.005967	3.500000
0.005979	3.500000
0.005990	3.500000
0.006002	3.500000
0.006013	3.430000
0.006025	3.430000
0.006036	3.430000
0.006048	3.430000
0.006060	624.770000
0.006071	624.770000
0.006083	624.770000
0.006094	1113.000000
0.006106	1113.000000
0.006117	1109.710000
0.006129	1109.710000
0.006141	1109.710000
0.006152	1107.210000
0.006164	1107.210000
0.006175	1107.210000
0.006187	3.430000
0.006198	3.430000
0.006210	3.430000
0.006221	3.430000
0.006234	3.430000
0.006245	3.430000
0.006256	3.500000
0.006268	3.500000
0.006280	3.500000
0.006291	3.500000
0.006303	3.500000
0.006314	3.500000
0.006326	3.430000
0.006338	3.430000
0.006350	3.430000
0.006360	3.430000
0.006372	3.500000
0.006383	3.500000
0.006395	3.500000
0.006407	3.500000
0.006419	3.500000
0.006430	3.500000
0.006442	3.500000
0.006453	3.500000
0.006465	3.430000
0.006476	3.430000
0.006488	3.430000
0.006499	3.500000
0.006511	3.500000
0.006523	3.500000
0.006534	3.500000
0.006546	3.430000
0.006557	3.430000
0.006569	3.430000
0.006581	3.430000
0.006592	3.430000
0.006604	3.430000
0.006615	3.430000
0.006627	3.430000
0.006638	3.430000
0.006650	3.430000
0.006661	3.430000
0.006673	3.430000
0.006685	3.430000
0.006696	3.430000
0.006708	3.430000
0.006719	3.430000
0.006731	3.430000
0.006742	3.500000
0.006754	3.500000
0.006766	3.500000
0.006777	3.640000
0.006789	3.640000
0.006800	3.640000
0.006812	3.570000
0.006824	3.570000
0.006835	3.570000
0.006847	3.640000
0.006858	3.640000
0.006870	3.640000
0.006881	3.640000
0.006893	3.640000
0.006905	3.640000
0.006916	3.640000
0.006928	3.640000
0.006939	3.640000
0.006951	3.710000
0.006962	3.710000
0.006974	3.710000
0.006986	3.640000
0.006997	3.640000
0.007009	3.640000
0.007020	3.640000
0.007032	3.640000
0.007043	3.640000
0.007055	3.640000
0.007067	3.640000
0.007078	3.640000
0.007090	3.640000
0.007101	3.640000
0.007113	3.640000
0.007124	3.640000
0.007136	3.640000
0.007148	3.640000
0.007159	3.640000
0.007171	3.640000
0.007183	3.640000
